37864	Nab	v	തട്ടിയെടുക്കുക
37865	Nab	v	പിടികൂടുക
37866	Nacre	n	മുത്തുച്ചിപ്പി
37867	Nacre	n	ചിപ്പിയുടെ ഉള്ള്‌
37868	Nadir	n	അധോഭാഗം
37869	Nadir	n	ഏറ്റവും താണനിലം
37870	Nadir	n	പാതാളം
37871	Nadir	n	അവസ്ഥ
152954	Nadir	n	ഏറ്റവും താഴത്തെ നില
152955	Nadir	n	ഒരാളുടെ ജീവിതത്തിലെ ഏറ്റവും മോശമായ കാലം
152956	Nadir	n	കഷ്‌ടകാലം
189574	Nadir	n	അധോഭാഗം
189575	Nadir	n	നീചാവസ്ഥ
211606	Nadir	n	ഒരാളുടെ ജീവിതത്തിലെ ഏറ്റവും മോശമായ കാലം
211607	Nadir	n	കഷ്ടകാലം
152794	Naff	a	വിലയില്ലാത്ത
152795	Naff	a	സാധാരണമായ
115859	Naff off	v	മാറിപ്പോകാന്‍ ആജ്ഞാപിക്കുക
37872	Nag	n	ചെറുകുതിര
37873	Nag	v	സദാ അധിക്ഷേപിക്കുക
37874	Nag	v	നിരന്തരം വേദന അനുഭവപ്പെടുക
37875	Nag	n	കുതിര
37876	Nag	v	അടിക്കടി കുറ്റപ്പെടുത്തുക
153094	Nag	n	സവാരിക്കുപയോഗിക്കുന്ന  കുതിര
153287	Nag	v	ശകാരിക്കുക
153288	Nag	v	അപലപിക്കുക
153289	Nag	v	അധിക്ഷേപിക്കുക
153290	Nag	v	വേദനിപ്പിക്കുക
189576	Nag	n	സദാ കുറ്റപ്പെടുത്തുന്ന
189577	Nag	n	നിരന്തരം ശല്യം ചെയ്യുക
211608	Nag	n	സവാരിക്കുപയോഗിക്കുന്ന  കുതിര
115856	Nag somebody	v	പരാതിപ്പെടുക
103092	Naga king	n	നാഗ രാജാവ്‌
106787	Nagas of patala	n	പാതാളത്തിലെ നാഗങ്ങള്‍
201527	Naggy	a	വെറുപ്പിക്കൽ
37877	Naiad	n	ജലദേവത
37878	Nail	n	നഖം
37879	Nail	n	തറയ്‌ക്കുന്നആണി
37880	Nail	v	ആണിയടിക്കുക
37881	Nail	v	സ്ഥാപിക്കുക
37882	Nail	n	പക്ഷിനഖം
37883	Nail	v	ആണിതറച്ചുറപ്പിക്കുക
37884	Nail	v	ദൃഢീകരിക്കുക
37885	Nail	v	പിടിക്കുക
153291	Nail	n	ആണി
153292	Nail	n	നഖരം
153293	Nail	n	കരജം
153294	Nail	n	പ്രരുഹം
153322	Nail	v	ആണി അടിച്ച്‌ ഉറപ്പിക്കുക
189578	Nail	v	തറയ്ക്കുന്ന ആണി
115862	Nail for	v	ഒരാളെ പിടികൂടി കുറ്റക്കാരനെന്ന്‌ തെളിയിക്കുക
115864	Nail ones colours to the mast	v	ഒരാളുടെ നയം വ്യക്തമാക്കുക
115861	Nail ones lie	v	ഒരാളുടെ പ്രസ്‌താവന കള്ളമാണെന്ന്‌ തെളിയിക്കുക
63327	Nail scissors	n	നഖം വെട്ടുന്ന കത്രിക
115865	Nail someone down	v	ഉത്തരം നല്‍കാന്‍ നിര്‍ബ്ബന്ധിക്കുക
37892	Nail to counter	a	കൃത്രിമമെന്നു തെളിയിക്കുന്ന
115863	Nail up	v	ഭിത്തിയില്‍ ആണിയടിച്ച്‌ ഉറപ്പിക്കുക
153323	Nail-biting	a	ഉത്‌കണ്‌ഠാകുലമായ
211609	Nail-biting	a	ഉത്കണ്ഠാകുലമായ
153342	Nail-brush	n	നഖം മിനുക്കുന്നതിനുള്ള ബ്രഷ്‌
211610	Nail-brush	n	നഖം മിനുക്കുന്നതിനുള്ള ബ്രഷ്
152630	Nail-file	n	നഖം മിനുസപ്പെടുത്തുന്നതിനുള്ള ഒരു തരം അരം
37893	Naive	-	നിഷ്‌ക്കളങ്കന്‍ ആയ
37894	Naive	a	ലോകമെന്തെന്നറിയാത്ത
37895	Naive	a	പച്ചപ്പരമാര്‍ത്ഥിയായ
152650	Naive	a	അനുഭവമില്ലാത്ത
152651	Naive	a	നിഷ്‌കളങ്കനായ
152652	Naive	a	നിഷ്‌കപടനായ
152653	Naive	a	ലാളിത്യമുള്ള
211611	Naive	a	നിഷ്കളങ്കനായ
211612	Naive	a	നിഷ്കപടനായ
115092	Naive user	n	ഒരു വസ്തുവിന്റെ ഉപയോഗ രീതിയെ കുറിച് ചെറിയ അളവിലുള്ള ജ്ഞാനംപോലുമില്ലാതെ അതുപയോഗിക്കാന്‍ ആഗ്രഹിക്കുന്ന വ്യക്തി
37896	Naivete	n	പച്ചപ്പരമാര്‍ത്ഥത
37897	Naivety	n	നിഷ്‌ക്കളങ്കന്‍
152660	Naivety	n	അനുഭവമില്ലായ്‌മ
